caso_id,kit_id,categoria,tarefa,motor,versao,fontes_ids,resolucao_nativa,resolucao_final,fidelidade_0_5,acabamento_0_5,composicao_0_5,marca_0_5,erro_critico,aprovado,tempo_segundos,custo_usd,minutos_retoque,observacoes
C01-1,KIT-01,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C01-2,KIT-01,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C01-3,KIT-01,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C01-4,KIT-01,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C02-1,KIT-02,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C02-2,KIT-02,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C02-3,KIT-02,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C02-4,KIT-02,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C03-1,KIT-03,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C03-2,KIT-03,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C03-3,KIT-03,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C03-4,KIT-03,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C04-1,KIT-04,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C04-2,KIT-04,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C04-3,KIT-04,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C04-4,KIT-04,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C05-1,KIT-05,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C05-2,KIT-05,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C05-3,KIT-05,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C05-4,KIT-05,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C06-1,KIT-06,produto_rigido,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C06-2,KIT-06,produto_rigido,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C06-3,KIT-06,produto_rigido,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C06-4,KIT-06,produto_rigido,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C07-1,KIT-07,embalagem_reflexivo,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C07-2,KIT-07,embalagem_reflexivo,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C07-3,KIT-07,embalagem_reflexivo,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C07-4,KIT-07,embalagem_reflexivo,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C08-1,KIT-08,embalagem_reflexivo,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C08-2,KIT-08,embalagem_reflexivo,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C08-3,KIT-08,embalagem_reflexivo,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C08-4,KIT-08,embalagem_reflexivo,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C09-1,KIT-09,embalagem_reflexivo,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C09-2,KIT-09,embalagem_reflexivo,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C09-3,KIT-09,embalagem_reflexivo,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C09-4,KIT-09,embalagem_reflexivo,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C10-1,KIT-10,embalagem_reflexivo,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C10-2,KIT-10,embalagem_reflexivo,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C10-3,KIT-10,embalagem_reflexivo,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C10-4,KIT-10,embalagem_reflexivo,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C11-1,KIT-11,alimento,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C11-2,KIT-11,alimento,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C11-3,KIT-11,alimento,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C11-4,KIT-11,alimento,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C12-1,KIT-12,alimento,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C12-2,KIT-12,alimento,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C12-3,KIT-12,alimento,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C12-4,KIT-12,alimento,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C13-1,KIT-13,alimento,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C13-2,KIT-13,alimento,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C13-3,KIT-13,alimento,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C13-4,KIT-13,alimento,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C14-1,KIT-14,alimento,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C14-2,KIT-14,alimento,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C14-3,KIT-14,alimento,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C14-4,KIT-14,alimento,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C15-1,KIT-15,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C15-2,KIT-15,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C15-3,KIT-15,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C15-4,KIT-15,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C16-1,KIT-16,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C16-2,KIT-16,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C16-3,KIT-16,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C16-4,KIT-16,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
