requested_repo,full_name,html_url,license_spdx,archived,pushed_at,stargazers_count,status,checked_at
QwenLM/Qwen-Image,QwenLM/Qwen-Image,https://github.com/QwenLM/Qwen-Image,Apache-2.0,False,2026-02-10T07:37:37Z,8366,metadata_verified,2026-09-24T13:25:02.332344+00:00
black-forest-labs/flux2,black-forest-labs/flux2,https://github.com/black-forest-labs/flux2,Apache-2.0,False,2026-03-12T15:06:20Z,2704,metadata_verified,2026-09-24T13:25:02.334846+00:00
Comfy-Org/ComfyUI,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,GPL-3.0,False,2026-09-24T13:12:08Z,134808,metadata_verified,2026-09-24T13:25:02.335847+00:00
huggingface/diffusers,huggingface/diffusers,https://github.com/huggingface/diffusers,Apache-2.0,False,2026-09-24T10:38:10Z,34596,metadata_verified,2026-09-24T13:25:02.335847+00:00
jtydhr88/ComfyUI-qwenmultiangle,jtydhr88/ComfyUI-qwenmultiangle,https://github.com/jtydhr88/ComfyUI-qwenmultiangle,MIT,False,2026-09-13T03:21:59Z,1376,metadata_verified,2026-09-24T13:25:02.336845+00:00
ZhengPeng7/BiRefNet,ZhengPeng7/BiRefNet,https://github.com/ZhengPeng7/BiRefNet,MIT,False,2026-09-02T09:32:48Z,4223,metadata_verified,2026-09-24T13:25:02.336845+00:00
danielgatis/rembg,danielgatis/rembg,https://github.com/danielgatis/rembg,MIT,False,2026-09-20T17:16:21Z,24867,metadata_verified,2026-09-24T13:25:02.961668+00:00
facebookresearch/sam2,facebookresearch/sam2,https://github.com/facebookresearch/sam2,Apache-2.0,False,2026-05-30T02:29:40Z,19916,metadata_verified,2026-09-24T13:25:02.978846+00:00
facebookresearch/sam3,facebookresearch/sam3,https://github.com/facebookresearch/sam3,NOASSERTION,False,2026-09-18T15:53:26Z,11776,metadata_verified,2026-09-24T13:25:03.003837+00:00
IDEA-Research/GroundingDINO,IDEA-Research/GroundingDINO,https://github.com/IDEA-Research/GroundingDINO,Apache-2.0,False,2024-08-12T08:52:02Z,10621,metadata_verified,2026-09-24T13:25:03.041114+00:00
lllyasviel/IC-Light,lllyasviel/IC-Light,https://github.com/lllyasviel/IC-Light,Apache-2.0,False,2025-02-20T15:52:35Z,8529,metadata_verified,2026-09-24T13:25:03.046521+00:00
lllyasviel/ControlNet,lllyasviel/ControlNet,https://github.com/lllyasviel/ControlNet,Apache-2.0,False,2024-02-25T09:49:39Z,34122,metadata_verified,2026-09-24T13:25:03.162917+00:00
Tencent-ailab/IP-Adapter,tencent-ailab/IP-Adapter,https://github.com/tencent-ailab/IP-Adapter,Apache-2.0,False,2024-06-28T02:47:03Z,6693,metadata_verified,2026-09-24T13:25:03.452883+00:00
instantX-research/InstantID,instantX-research/InstantID,https://github.com/instantX-research/InstantID,Apache-2.0,False,2024-07-18T04:12:48Z,11996,metadata_verified,2026-09-24T13:25:03.463175+00:00
ToTheBeginning/PuLID,ToTheBeginning/PuLID,https://github.com/ToTheBeginning/PuLID,Apache-2.0,False,2025-07-31T18:08:38Z,3552,metadata_verified,2026-09-24T13:25:03.511116+00:00
TencentARC/PhotoMaker,TencentARC/PhotoMaker,https://github.com/TencentARC/PhotoMaker,NOASSERTION,False,2024-10-31T09:35:15Z,10087,metadata_verified,2026-09-24T13:25:03.542380+00:00
xinntao/Real-ESRGAN,xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,BSD-3-Clause,False,2024-08-06T13:15:18Z,36892,metadata_verified,2026-09-24T13:25:03.550377+00:00
Fanghua-Yu/SUPIR,Fanghua-Yu/SUPIR,https://github.com/Fanghua-Yu/SUPIR,NOASSERTION,False,2025-05-12T09:49:11Z,5668,metadata_verified,2026-09-24T13:25:03.646884+00:00
Sanster/IOPaint,Sanster/IOPaint,https://github.com/Sanster/IOPaint,Apache-2.0,True,2025-04-29T02:13:17Z,23317,metadata_verified,2026-09-24T13:25:03.951538+00:00
microsoft/TRELLIS.2,microsoft/TRELLIS.2,https://github.com/microsoft/TRELLIS.2,MIT,False,2026-07-10T12:34:32Z,11348,metadata_verified,2026-09-24T13:25:03.956552+00:00
Tencent-Hunyuan/Hunyuan3D-2.1,Tencent-Hunyuan/Hunyuan3D-2.1,https://github.com/Tencent-Hunyuan/Hunyuan3D-2.1,NOASSERTION,False,2025-10-17T10:10:07Z,4069,metadata_verified,2026-09-24T13:25:04.016698+00:00
TencentARC/InstantMesh,TencentARC/InstantMesh,https://github.com/TencentARC/InstantMesh,Apache-2.0,False,2025-01-03T09:09:13Z,4536,metadata_verified,2026-09-24T13:25:04.090161+00:00
xxlong0/Wonder3D,xxlong0/Wonder3D,https://github.com/xxlong0/Wonder3D,MIT,False,2025-03-14T07:09:19Z,5430,metadata_verified,2026-09-24T13:25:04.096187+00:00
colmap/colmap,colmap/colmap,https://github.com/colmap/colmap,NOASSERTION,False,2026-09-24T13:14:06Z,12811,metadata_verified,2026-09-24T13:25:04.164406+00:00
nerfstudio-project/nerfstudio,nerfstudio-project/nerfstudio,https://github.com/nerfstudio-project/nerfstudio,Apache-2.0,False,2025-07-29T02:30:55Z,12021,metadata_verified,2026-09-24T13:25:04.499387+00:00
PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,False,2026-09-16T03:31:50Z,90148,metadata_verified,2026-09-24T13:25:04.586595+00:00
mlfoundations/open_clip,mlfoundations/open_clip,https://github.com/mlfoundations/open_clip,NOASSERTION,False,2026-09-08T19:29:50Z,14165,metadata_verified,2026-09-24T13:25:04.603584+00:00
voxel51/fiftyone,voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,False,2026-09-24T13:18:21Z,11114,metadata_verified,2026-09-24T13:25:04.659457+00:00
lovell/sharp,lovell/sharp,https://github.com/lovell/sharp,Apache-2.0,False,2026-09-22T14:08:12Z,32714,metadata_verified,2026-09-24T13:25:04.705084+00:00
konvajs/konva,konvajs/konva,https://github.com/konvajs/konva,NOASSERTION,False,2026-09-23T16:14:23Z,14823,metadata_verified,2026-09-24T13:25:04.780976+00:00
ostris/ai-toolkit,ostris/ai-toolkit,https://github.com/ostris/ai-toolkit,MIT,False,2026-09-23T18:18:34Z,12104,metadata_verified,2026-09-24T13:25:05.050648+00:00
invoke-ai/InvokeAI,invoke-ai/InvokeAI,https://github.com/invoke-ai/InvokeAI,Apache-2.0,False,2026-09-24T02:33:55Z,28281,metadata_verified,2026-09-24T13:25:05.141582+00:00
